autor1,autor2,nProyectos
Becker Alvear: Germán,Paulsen Kehr: Diego,40
Flores García: Iván,Torres Jeldes: Víctor,40
Chahin Valenzuela: Fuad,Rincón González: Ricardo,40
Andrade Lara: Osvaldo,Jiménez Fuentes: Tucapel,40
Molina Oliva: Andrea,Norambuena Farías: Iván,40
Monckeberg Bruner: Cristián,Núñez Urrutia: Paulina,40
Kort Garriga: Issa Farid,Ward Edwards: Felipe,40
Meza Moncada: Fernando,Robles Pantoja: Alberto,40
Fuenzalida Figueroa: Gonzalo,Pérez Lahsen: Leopoldo,40
Gahona Salazar: Sergio,Norambuena Farías: Iván,40
Jarpa Wevar: Carlos Abel,Meza Moncada: Fernando,40
Hasbún Selume: Gustavo,Trisotti Martínez: Renzo,40
Coloma Alamos: Juan Antonio,Sandoval Plaza: David,40
Farcas Guendelman: Daniel,Letelier Norambuena: Felipe,40
Carmona Soto: Lautaro,Teillier Del Valle: Guillermo,40
Hasbún Selume: Gustavo,Lavín León: Joaquín,40
García García: René Manuel,Núñez Urrutia: Paulina,40
Sabat Fernández: Marcela,Verdugo Soto: Germán,39
Gutiérrez Pino: Romilio,Morales Muñoz: Celso,39
Fuenzalida Figueroa: Gonzalo,Santana Tirachini: Alejandro,39
Hernández Hernández: Javier,Macaya Danús: Javier,39
Lavín León: Joaquín,Ward Edwards: Felipe,39
Alvarez-Salamanca Ramírez: Pedro Pablo,Norambuena Farías: Iván,39
Santana Tirachini: Alejandro,Verdugo Soto: Germán,39
Berger Fett: Bernardo,Paulsen Kehr: Diego,39
Hernández Hernández: Javier,Trisotti Martínez: Renzo,39
Hasbún Selume: Gustavo,Van Rysselberghe Herrera: Enrique,39
Becker Alvear: Germán,Sabat Fernández: Marcela,39
Urrutia Bonilla: Ignacio,Ward Edwards: Felipe,38
Monckeberg Bruner: Cristián,Santana Tirachini: Alejandro,38
Núñez Urrutia: Paulina,Santana Tirachini: Alejandro,38
Mirosevic Verdugo: Vlado,Sepúlveda Orbenes: Alejandra,38
De Urresti Longton: Alfonso,Harboe Bascuñán: Felipe,38
Berger Fett: Bernardo,Sabat Fernández: Marcela,38
Becker Alvear: Germán,García García: René Manuel,38
Gahona Salazar: Sergio,Hoffmann Opazo: María José,38
Hernández Hernández: Javier,Kast Rist: José Antonio,38
Coloma Alamos: Juan Antonio,Kast Rist: José Antonio,38
Gutiérrez Gálvez: Hugo,Vallejo Dowling: Camila,38
Becker Alvear: Germán,Rathgeb Schifferli: Jorge,37
Molina Oliva: Andrea,Sandoval Plaza: David,37
Aguiló Melo: Sergio,Gutiérrez Gálvez: Hugo,37
Nogueira Fernández: Claudia,Turres Figueroa: Marisol,37
Fuentes Castillo: Iván,Sepúlveda Orbenes: Alejandra,37
Lavín León: Joaquín,Nogueira Fernández: Claudia,37
