date,max_temp
2012-03-12,0.351938
2009-03-27,22.482311
2015-04-10,0.131656
2009-05-25,0.008045
2009-06-05,4.687656
2015-12-18,2.02821
2012-03-01,0.449325
2018-08-27,0.247382
2009-07-30,1.014931
2009-08-18,0.357987
2009-10-09,0.12238
2015-06-16,0.035785
2009-05-14,0.787105
2012-12-14,0.615914
2012-12-12,0.216451
2009-08-05,0.521352
2012-06-29,1.294407
2018-12-21,0.047176
2009-03-10,0.008961
2015-08-27,0.014075
2015-07-21,0.731104
2012-04-23,0.489489
2009-09-30,0.113496
2015-10-09,0.104262
2012-11-21,0.033511
2012-03-27,0.272102
2009-08-29,0.004568
2009-03-18,0.004752
2009-05-23,0.135448
2009-04-30,0.950126
2009-12-16,0.026831
2015-12-23,0.063853
2015-06-30,1.27648
2009-09-09,0.053201
2012-03-14,0.191102
2012-05-25,0.495413
2012-05-10,0.049794
2015-10-07,0.240905
2015-02-03,0.032164
2009-12-03,0.692143
2009-11-30,0.002519
2015-05-12,0.11274
2012-09-03,0.113448
2012-07-23,0.175714
2009-08-16,0.030703
2012-02-21,0.003794
2012-01-18,0.036074
2012-12-27,4.812793
2018-06-29,0.018253
2012-03-16,0.069285
2015-02-05,0.369367
2009-05-12,0.26182
2012-08-27,0.981677
2009-04-03,0.00073
2012-06-07,0.158969
2012-08-29,0.3813
2012-08-03,0.240956
2009-12-14,0.636228
2015-07-30,0.230779
2015-11-03,0.02305
2009-03-03,0.022578
2009-01-14,0.113337
2009-08-27,0.058099
2012-10-18,0.017974
2015-12-01,0.002794
2013-01-13,0.006736
2013-02-06,0.105125
2010-08-11,0.020665
2013-10-02,0.673356
2016-12-06,0.007431
2013-09-04,0.460824
2013-07-08,0.010387
2016-03-15,0.105344
2019-07-31,0.001703
2013-05-02,0.037342
2019-04-04,0.104235
2016-07-13,0.024122
2010-09-28,0.119788
2010-11-19,0.123163
2010-10-26,0.079542
2016-07-17,0.099611
2013-08-26,0.288702
2019-03-11,0.367848
2013-06-19,0.850882
