Nombre,Direccion,Comuna,Horarios,Latitud,Longitud
RAMÓN CRUZ,"Ramón Cruz, entre Amanda Labarca y Quilín",Macul,Ma y Vi,-33.498796,-70.5952827
GUAYAQUIL,"O'Higgins, entre Victoria y Olimpo",Maipú,Ma y Vi,-33.5136465,-70.7754431
LOS HÉROES,"Hermógenes Pérez de Arce, entre Silva Carvallo y Andrés Amenábar",Maipú,Mi y Sá,-33.5295356,-70.7715143
LAS PARCELAS,"Las Parcelas, entre Sur de Chile y Las Torres",Maipú,Ju y Do,-33.4760134,-70.7310031
EL CONQUISTADOR,"El Conquistador, entre Las Tinajas y Portales",Maipú,Ma y Vi,-33.516356,-70.7969628
LUMEN,"Lumen, entre 3 Norte y Primo de Rivera",Maipú,Mi y Sá,-33.4927087,-70.7432071
TRES PONIENTE,"Tres Poniente, entre Maipú y Camino a Rinconada",Maipú,Ju y Do,-33.5078803,-70.7913777
LAS NACIONES,"Las Naciones, entre Portales y Camino a Rinconada",Maipú,Ju y Do,-33.5183218,-70.7860425
EL ABRAZO,"Las Industrias, entre Cuatro Poniente y Egipto",Maipú,Ju y Do,26.820553,30.802498
PADRE HURTADO,"Huáscar, entre Padre Hurtado y San José",Maipú,Ma y Vi,-33.5165866,-70.7779048
CUATRO ÁLAMOS,"Santa María, entre Vicente Reyes y Segunda Transversal",Maipú,Ma y Vi,-33.5008515,-70.7451936
INCA DE ORO,"Inca de Oro, entre La Galaxia y Cuatro Poniente",Maipú,Mi y Sá,-33.5125536,-70.7939273
CIUDAD SATÉLITE,"Caletera Camino a Melipilla, entre Parque Central Poniente y el ingreso a Padre Hurtado",Maipú,Ju y Do,-33.5541732,-70.7953992
EL DESCANSO,"El Descanso, entre Gustavo Eiffel y Pedro Gallo",Maipú,Mi y Sá,-33.4715785,-70.7418745
BORGOÑO,"Borgoño, entre Cuatro Poniente y Las Naciones",Maipú,Ma y Vi,-33.5087084,-70.7903271
LA REFORMA,"La Reforma, entre Jorge Alessandri y Pasaje Excalibur",Maipú,Ma y Vi,-33.4863072,-70.7627656
TEATRO PRINCESA,"Teatro Princesa, entre Isabel Riquelme y La Sinfonía",Maipú,Ju y Do,-33.4852158,-70.7377715
ISABEL RIQUELME,"Isabel Riquelme, entre Santa Rosa y Simón Bolívar",Maipú,Ma y Vi,-33.4785936,-70.7302363
CAMINO A RINCONADA,"Camino a Rinconada, entre La Galaxia y Regimiento Atacama",Maipú,Mi y Sá,-27.5660558,-70.050314
SAN LUIS,"Tres Poniente, entre Portales y Camino a Rinconada",Maipú,Mi y Sá,-33.518269,-70.7791844
JUDEA,"Las Industrias, entre Judea y Jorge Guerra",Maipú,Ma y Vi,-33.5399712,-70.770605
LA GRUTA,"Gabriel González Videla, entre Cuatro Poniente y Caleta Camarones",Maipú,Mi y Sá,-18.8333326,-69.7439002
